,ki
25601,0.06187976600057743
26142,0.06077896954575878
23884,0.058575662256924316
26551,0.06651085876325219
28086,0.06045548978592142
17990,0.056737068200676394
15947,0.056747758234657907
27383,0.06425850864112015
17680,0.05803278798504833
16481,0.05493798924304233
16342,0.06186501614634986
17310,0.06440460771592313
16920,0.0690313302251308
26486,0.0704883677860312
23018,0.06006540011644584
15199,0.06387356530407298
15143,0.06355814929796205
25271,0.05812870201359742
25256,0.06045431768743776
26931,0.05880701183172931
23140,0.06505832736547966
25360,0.05713760931284805
25370,0.061358690133546764
17447,0.07198214281864385
25528,0.05652733810022135
26728,0.05742690300395663
22956,0.05911349789466094
22737,0.05574187793126353
21987,0.05947478414010846
20198,0.05882465796610743
18701,0.05706154753018129
19377,0.059053420207555406
19538,0.05920230677747064
18554,0.06146438302749899
22099,0.05630478562881089
27912,0.05962739480587996
22999,0.06443812002026249
25700,0.061682604298128337
25443,0.06151467009934096
17157,0.05540293670759211
25989,0.06169430942734968
21140,0.056503254552157794
28419,0.0577764229842713
21378,0.05769935307308642
19632,0.07009289537628174
23278,0.06022225688069913
25484,0.06545147813620153
22030,0.05902709579172828
15384,0.055437395815271434
26970,0.06340099313227628
28351,0.0561482239334375
16071,0.06007084689101038
23907,0.05858002404778919
19719,0.06557181384067434
16525,0.05861520554765938
15117,0.055422783921487535
20885,0.06177949485467973
20654,0.0597125872779684
21814,0.06256225039342529
17885,0.05468887779227602
27514,0.057462856457291725
21099,0.05806593049531092
21221,0.05754294714648612
17212,0.06272055078089109
19598,0.05867790649146697
15280,0.05455718273740793
25147,0.05614434641618541
18318,0.06792388055999803
28161,0.059542507004242094
27197,0.06834110755064
20220,0.0747840222166924
26261,0.06680098268442096
28460,0.05623453996258524
24785,0.05729964046735986
16021,0.06038698106630014
26157,0.06384631857608734
26078,0.06376807462904222
24748,0.0616639969954733
19980,0.05705306493501603
16681,0.05518095144704587
25051,0.05692681069418894
20511,0.05935599626864606
27743,0.05840256425557099
18098,0.060459583549788226
23103,0.06695749397605913
15245,0.05999436312977818
23045,0.05728921500010621
23574,0.060982083287344994
16068,0.06379489132328083
20070,0.06737674804651876
26560,0.06082381616421333
26851,0.06593068737318507
19125,0.06503857249744226
24361,0.05839979133343785
19234,0.06142703021294978
17021,0.05687730206062452
16976,0.059260626901782486
18239,0.06140874294978645
15953,0.05543540267338308
26420,0.07030743338374763
19471,0.06144856779885726
21854,0.06066385363062912
24793,0.05471665893574174
23640,0.06505526117529938
28269,0.06033324018200709
19086,0.06448627816992782
28415,0.054679143672524355
22835,0.05394890542314554
16043,0.058589501918643865
20079,0.0569628581152323
24363,0.06260375188244958
21611,0.05555870655259599
28396,0.05389260690876306
22461,0.056440047982292074
23732,0.05916577194612501
26608,0.0568023585124086
17017,0.06379711948431871
23738,0.06592566475544046
22091,0.07217406477770973
22800,0.06456827161734935
27871,0.06266763092324347
25679,0.05887995588303951
28236,0.06507876251823998
22355,0.05437485924638021
17871,0.05741798202381215
24344,0.06499774003094888
19305,0.06850801383364713
22130,0.05923799876332597
24627,0.067503334081348
19890,0.061939612926832796
20766,0.060342657470907696
24050,0.06754072772970511
25592,0.06117226752745642
18152,0.06861444025878057
19984,0.06293109363591043
19740,0.05958333077138708
18880,0.05710013528713644
22176,0.0635109847071275
26434,0.05942331786539593
22147,0.05729953866946228
17461,0.05461745098109025
22372,0.06352334595690776
27397,0.060691390324851
22736,0.06578329379341306
25958,0.06235043610682543
26691,0.06595106476788976
27531,0.0645375173332144
22056,0.06476733956979892
27700,0.05538450484126899
18240,0.06101120930390676
21161,0.06280665197845202
25402,0.055553775272663496
20706,0.06195822685738213
26452,0.056061567499504014
16620,0.05534047560150966
23596,0.06339823777612924
16897,0.06236150410360144
17037,0.061211434024214126
24076,0.06021788432790167
26255,0.057052407706207973
20757,0.0604692212988678
17664,0.06278925975720667
25782,0.06147853685294834
16345,0.061710931783367916
23546,0.06608459852389764
27304,0.07320531143272804
20947,0.06700788796297277
16944,0.05722277825082045
18240,0.06101120930390676
26989,0.055399961119198225
25385,0.062413785109831386
28393,0.06425779692735145
20943,0.06474332997440573
19574,0.07032666686242683
24279,0.06142540600422105
16908,0.06390002093323498
19307,0.059481064035290084
17285,0.05565755840704107
28213,0.06527725163311353
20995,0.05698681926705171
25501,0.05484547639216234
21338,0.0629980052526516
23500,0.06070107234568663
27434,0.05889265284915682
17943,0.057968962290409334
19146,0.06021017951124881
16714,0.05925403712833259
24319,0.05507468378544966
25104,0.058105246017371076
18588,0.06282276054414013
19947,0.055503171965987384
24203,0.05347165853909768
23797,0.06952438385175107
20770,0.05711611988020676
26486,0.0704883677860312
27112,0.057159572027065966
24696,0.05923190160851502
22943,0.06449361419780247
17169,0.05800373484508936
24835,0.056996465450074536
